source_url,url_hash,last_analyzed_at,fetched_rows,analyzed_rows,relevant_rows,raw_fetch_path,single_analysis_path,history_path,training_candidates_path,content_id,collection_source,cache_hit,cache_path,cache_rows_available
https://www.facebook.com/share/p/1Cv97GAZLh/,0feccc02f1c2,2026-06-20T20:41:35.635199+00:00,611,578,223,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\raw\url_fetches\comments_0feccc02f1c2_20260620T204132Z.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\results\url_analyses\analysis_0feccc02f1c2_20260620T204135Z.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_analysis_history.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_training_candidates.csv,,,,,
https://www.facebook.com/100064560977290/posts/6124054071047970/,568f92e6a00d,2026-07-31T13:10:09.500189+00:00,100,99,20,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\raw\comments_post_6124054071047970.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\results\url_analyses\analysis_568f92e6a00d_20260731T131009Z.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_analysis_history.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_training_candidates.csv,6124054071047970.0,local_cache,True,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\raw\comments_post_6124054071047970.csv,963.0
https://www.facebook.com/100068447443740/posts/1098187275806177/,0a377717ae25,2026-08-09T00:34:46.958908+00:00,20,20,9,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\raw\comments_post_1098187275806177.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\results\url_analyses\analysis_0a377717ae25_20260809T003446Z.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_analysis_history.csv,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\processed\labeled\url_training_candidates.csv,1098187275806177.0,local_cache,True,C:\Users\Mulenga Musamba\Documents\sentiment-analysis-prototype\data\raw\comments_post_1098187275806177.csv,20.0
