comment_id,processed_text
847279377585164,former zambian lucky understand wondering should embarrassed
554598666988182,current affairs re liers
1694491787993458,sammy rose chanda ala mwandi
1711668552902047,jeff chomwa chindele t trusted
552697647224346,lulu nkowani nguni same na kamwala near prison power
552697647224346,cynthia muloto imagine upto now awe suffered
552697647224346,lulu nkowani nguni s too much two lines mu yard kwinangu power group c awe sure
552697647224346,cynthia muloto s unfair weh
416841741112021,chanda victoria mulundu s reduced loadshedding end
416841741112021,chansa joe kapema yes haven t sunday 01 meaning almost two days now
416841741112021,chanda victoria mulundu sounds like fault loadshedding similar experience until l reported fault know loadshedding comes lot faults system report
416841741112021,chansa joe kapema s just loadshedding coz off us even made phone calls customer care line ve confirmed themselves
416841741112021,emmanuel musonda well won t say much logically sounds like fault l hear
1034750305328057,ba zesco s 1st october now time exactly still power
540973198303459,lelo nipa 1 atibwanji tuja tunthu
547690607655414,people complain comments like someone normal zesco limited see complains person runs page simple kawayawaya human call zesco even won t also anything don t complain just giving page comment traffic
8966443923383710,zesco luangwa ericka street power goes morning everyday business choose switch off power business place gives power three streets luangwa least should given us power also business place morning than night suffering family feed please please please look into
1532390074051752,dear zesco limited understand crisis together also keep word today first october hopes s update
1249250492878220,give us solars kaili
1752883328798712,yabwelako lelo coz promised us month reduce hours how far project try update nation know epo tuleendela
1201200271113616,heard power supply stabilising beginning today how progress far
1043763430412037,today s 1st october s aii
1968490243632701,lelo pa 1st october power came 03 30 yayenda 05 30 almost 2 days power supply area ndiye stable power supply iyi
1201200271113616,hurst mwale progress
540973198303459,lamecky lj melchizedek tuja tuja tunthu mwanipanga
540973198303459,lamecky lj melchizedek zoona boss ask behalf us don t power 3 days now
540973198303459,lamecky lj melchizedek u don t listen
540973198303459,lamecky lj melchizedek m immediately using ka statement recover back tumakongoles
1249250492878220,milambo milimo early morning
1043763430412037,boniface lwiindi imagine wasn t agreement naba mudala
1968490243632701,chabwela mwanza same
1547545499239088,imwe si 1st october lelo don t power since sunday
548644267823048,s stable power
1448794839128330,electricity only comes kuma 23 goes 04 wat u failing even give us electricity sundays wen home allow other companies supply power u enough energy source
1567925287179979,rubbish telling writing even zambian citizen get paid better keep guys brought harm country than good
2006828819763061,thought pa october 1 load shedding hours reduce everything lie mu new dawn
