comment_id,processed_text
1935125996964359,don t know needs hear isaiah 60 22 says time right lord make happen ecclesiastes 3 vs 11 says makes everything beautiful time encouragement today don t give god mindful also make prosper god knows re tired knows re frustrated pray wait trust timing won t let down please bless day follow glad followed could mean alot thank
1056556399810818,zesco limited also re share schedule shows area group honestly don t expect us memorize something didn t work maamba collieries back grid power imports being made would made sense least upto 6 hours power per day even 6 hours rationed 2 x 3 hours per day
1462887677749584,least power 10 14hrs battery full first time many months lol
823574169989210,guys promised 17 hours load shedding september failed deliver thought would give even 6 hours power residential areas october failed short term plan zesco now wait rains let s just pray rains start early should last long should heavy
502478876083855,only power zambia power god other powers fake
1045021707103658,andrew mwansa don t even know insult sir forgiven
1045021707103658,mendral chitongo arsenal thats plan comment without ulupato said expect better government because government think those businesses depends electricity welders saloons fresh products car wash others
502478876083855,vasilis marosoulis things possible those believe even felt power god
502478876083855,moses miracle snr just look around u world ppl r suffering wars hunger drought innocent kids die hunger diseases many other reasons u see power let know good night wont continue conversation end thank
502478876083855,vasilis marosoulis problem only focus situations god done anyway may see god life
823574169989210,kethan b course sell everything rains heavy year great sell
823574169989210,katerina altop true selling other countries seems like alot people sayong same really words express disappointment
1056556399810818,o neil mweemba hospitality redefined nation need improve daunted same problem decades still unable come tangle solutions sustainable s clear s lack consideration zesco leadership
1056556399810818,o neil mweemba hospitality redefined dial 3600 show group area
518066994189067,mu zo exactly give power ridiculous hours because know people asleep using s like mocking people giving something cannot use
518066994189067,mu zo part hired represent
518066994189067,mu zo also use say
518066994189067,don t even know people passed school coz t bring power around 24 hrs people sleep power staying within 2 hrs
518066994189067,imagine timetable s showing 24 power coming around 01 30 02 30
1045021707103658,susan j stephens thanks never pre school think malfunction keyboard
1045021707103658,jack jones chandalala because even before bragging 400megawatts having tuma 3hrs lights moment additional 400megawatts could having least ma 6hrs power ifii additional same results yaba
1045021707103658,feli lex how just speaking truth wake
1681413012651571,county men women s zesco drops rain even lucky zesco company making efforts maintain 3hrs stability power s good let us learn appreciate thank
1964079714067506,difference between upnd both direction u live lies
940333384787564,yesterday today seen stabilization electricity restored 10hours 13hours said nayenda trend like possible plan
1080839880079636,kabungo edward ed part board
1080839880079636,kabungo edward ed much board independent know every decision board makes pass through president before s implemented
940333384787564,hour power called told challenge system
940333384787564,luciah mb yes 3hours per day comes consistency same time able use effectively
1681413012651571,pearl freeman difference between imported power having own power boss realize
2498876370301527,manje wednesday 3 october 2024 otherwise doesn t exist calendar too much drama
1322610832456208,encourage zesco employees lock offices go home thank
1288868128957482,used using katolitoli ivi va malaiti seems latest kuno yesterday still lights forgot switch off
1084590416364090,just keep quiet nothing say power zaingalume today s day two don t take us fo ls okay s better keep quiet kusabaila mtchew
1681413012651571,s just ur area us staying upto week without power kaya
2498876370301527,people really run ideas working under pressure
2498876370301527,people well trained lying long ago promised 3 hours power supply per day 3 days power supply s annoying
2498876370301527,doris chuwa chela could better able follow schedules otherwise s very disturbing
1045021707103658,feli lex broke think worth seen post nothing being bitter electricity crisis even affecting supporting let s learn honest say truth
1045021707103658,politicians make heaven
1322610832456208,company us group e going use power 00 00 03 00 like honestly let s serious considerate
1322610832456208,mukuka lushomo imagine waking go use power download movies
1322610832456208,kabika harriet imagine sis lying us straight faces bachilamo reason go home
1322610832456208,government liars starting top s chief liar
863524105753795,hussein abdi how long think last don t know people go 4 days without power
1681413012651571,ve never school understand cause disability too much
1681413012651571,mayaya jae imagine also those living near clinics never experienced going through true rain poor planning honestly speaking suffered
1681413012651571,joana shula thanks reminding s talking like 5 years old man t remember hh told us
1681413012651571,bruce mwanza very true wonder never plan future
1681413012651571,bruce mwanza even import power tanzania also make sense than telling people appreciate anyhow import power adjust tariffs blame know drought giving people fake solutions 3hours per day
1990117874793593,lusaka only province how other zesco limited
508574368732227,ala thought zesco limited director said power stable wahala now
1065511448911076,matter still faith jesus name day load shedding remain history
530793942990369,t just make solar plant since s company telling people started making own power using thought toilets know soon s bye bye zesco
508574368732227,olivia mulenga talking zesco also writing umungulu
2251977241829025,melinda k banda always say t wait voted tired want
2251977241829025,sharon kalambo right still t believe voted now failing manage system
1065511448911076,chanda phiri never happen zambia know politician assumes office president always sale power corrupt agendas means stealing forget load shedding end zambia
1065511448911076,chanda phiri mark words see load shedding ever end zambia load shedding us since time memorial able something end
1065511448911076,noble excellent governor felix get u could happen sometime because load shedding continues won t rely government future us come private organization could supply electricity
3911864205725331,15 days just way preparing us waste
1460986971279979,t just switch off good than keep stressing people reason failed nation
1176666836760199,ve become foolish extent failing fulfill promised us call 3hrs stable
958142769405125,s common sense industries manage buy own gen sets other alternative sources power than mere komboni resident living k20 per day busy taunting consider buying solar gen set allocate hours residential areas markets reduce industries mines inclusive encourage consider alternative sources power
8207205366024150,got played fooled even changed still 3 hours
865174698928835,atase stability promised us kwena
4020407858281027,now zesco started making time tables us s teacher pupils feel like seated desks teacher addressing us class
1495100374531875,zesco should now only employee witch off power since s much work
841967881446936,good enough stress levels too high kantry
1763062227781516,zesco limited only power 30 minutes kamwala south
890179399251123,kudos zesco re doing well s just us people don t understand efforts re putting address disastrous power crisis please possible give us power just 1hr 24hrs ll see how best work those don t want well explore other power sources corresponding financial muscle vizimyeeeeeeee iweeee
1093095268856355,waiting u specify year said 1st october stabilize loadshedding
851116133455292,call stable sure group e power hour ayi zambia punishment center soon sentence zambia hard labour
919118116907903,think question needs asked zesco management announced end load shedding exactly taken into consideration source supply go load shedding normal 3 inhumane allocation hours day abhorrent
8207205366024150,kennedy muzyamba 3 days 3 hours think s meant
8207205366024150,kennedy muzyamba nothing changed just playing minds
8207205366024150,kennedy muzyamba t believe played like three year old
8207205366024150,kennedy muzyamba lucky 3hrs us lusaka 3hrs every 2 3days
958142769405125,mashata sebby given mines power taxes 5 years zambia kuchalo
958142769405125,mashata sebby call less production high price manufactured commodities gen set consume alot fuel most machinery zambia run electrical power say solar adjusting solar powered machinery may take longer shipped continuous supply goods meaning great negative impact already crippled economy
958142769405125,natalia phiri well noted hope understand coming too
890179399251123,gabriel chishimba wafyalwa na gold spoon mouth u t understand pain people use put meal selling freezits barbing soloons nd welding
890179399251123,gabriel chishimba doing well poor plan
8207205366024150,kennedy muzyamba us barastone power comes day only lasts hour
1093095268856355,chanda chanda randomly coming pakati apa now stabilized schedule meaning now knowing time s coming going s message english said
1093095268856355,mulenga adrian right explanation zambia just too many us ignorant wish could remember page someone explained zesco meant load shedding stability import power
1093095268856355,manfred kazia simusokwe like said having 3hrs power till going power solutions start working water comes recently 1 maamba plant being serviced couldn t follow schedule coz pressure too much even 3 hours now s done able schedule loadshedding
1464374354271951,gracious t kalyondo elo just announce things already ground
1464374354271951,gracious t kalyondo wanted tag don t know distracted
958142769405125,good few months things would go sideways bad worse cus economy cost living would raised higher than re facing now
958142769405125,mashata sebby kkkkk subsidizing mealmeal cant suistanable solution atleast let goverment goverment farms producing enough maize too feed nation maize farmers left oh targeted export only things subsidize fuel using cdf money 30million per constiuency too much let reduced 10 million 10million multiply total number constituency 156 money used lower price things market
851116133455292,feli lex just praise nothing sometimes stand truth shaaa
851116133455292,feli lex yes bitter won t being subjected mediocracy
1037256991273637,joke kind guys running company just failures milking further run down small businesses s getting bad ground yet sit those offices doing nothing improve situation honestly use electricity midnight jokers
880439590817413,give us electricity 00 00 03 00 use find missing candle just distribute other 3 residential areas give 4hrs instead
506363162192492,serious problem zesco level incompetence continued far too long how end 3 hours power per day same before availability 300 mw maamba importation 400 mw max etc zesco limited should serious
404972345757790,don t see reason importing power continue power three hours total madness didn t meant saying stable supply
566088905874675,still 3 hours power residentials dispite coming back maamba coaliers much talked importation power just come open tell nation whole truth nothing truth
519598280878257,last part statement wasn t necessary cause know others go over 48 hours without power just pray god grants us good rains season cause write ups aren t helping even resilient get tired tired heat t even drink ice cold water may never experience lives
512809911557124,zesco limited erb waiting entire month september just 3 hours power day should learn keep quiet let work speak self energy minister even bringing talking shame
1354102469308281,prester nkonde question well time only switch geyser
1354102469308281,imagine waking iron time elo re supposed productive work following day
880439590817413,whole zesco management sat deliberate hours came midnight 03 bafolelapo na sitting allowance
1462108041154175,align minister s pronouncement said load shedding 17 hours effective first week october meaning consumers having power 7 hours three hours always only new thing just timetable zesco published
1198753218076537,thought 1st october things better having electricity least 5hrs 6hrs per day s just same don t know better talking meant
451194920685373,improvement promised zambia people
1242573350102183,even drafting timetable 3 hours supply should just kept quiet ignored minister said under pressure costa
9109257635755225,should t even posted rubbish otherwise using seating dark
1250069156002665,group e always worst schedule supposed power mid night 03
1170215497417996,embarrassing zesco limited those unnecessary announcements power improving 2months maintenance best
1198520671491711,difference same power ve imported nd mega watts ve sourced maamba made close zesco useless serving purpose
1064385481806396,kony kumz imagine aiii midnight
1064385481806396,feli lex new word just learn even know means
925974862884776,fault coz whole zesco fault want us report fault fault
1285478359500648,3 days completely power honestly chilenje south lazymens area zesco fault area because too much
1084462483195353,people think dull re just playing naive before routine maintenance maamba collieries announced load shedding upto 17 hours got interrupted maintenance s announced only having supply 3 hours until things normalize 1 october come day people want maintain 3 hours instead cutting supply scheduled 17 hours before maintenance seriously elo timetable won t follow happens baking cut before time tell ll come office ll refund
1196126074773508,need schedule kitwe residents lusaka
882125813911804,bring power 24 switch 03 witches stay awake during time serious
385043538016882,improvement need getting 400megawatt because nothing changed stop even posting schedule difference used
1191499471964636,entire md minister energy giving speeches like significant improvements going happen should ve just kept quiet joke say list those headlines press giving people hope only told going enjoy 3 hours electricity
1191499471964636,francis musamba nkhoma first discussed during cabinet meeting delivered public know head cabinet
853539713619064,3 hours yet saying starting today ll giving us 3hrs power doing let s just wait rains don t confuse us
950199157151460,please don t thing groups n specific timings think re getting used current timings unlike groups don t extended periods enquire re ever told following timing wrong group things say regarding repeating responses ve recieved s sad thing
1047142153559111,schedules changing weekly basis cannot survive power only 24 hrs 03 hrs foreseeable future
1076865154013169,area power 3 days call zesco tell wait power s honestly
1052945053170961,increase tarrif import electricity let people electricity unacceptable s affecting people s lives very negatively
755024906748125,zesco stop rubbish start rotation nkwazi overspill ndola 5 months fixed timetable lights only comes 01 goes 3 4 time somewhere else enjoying t afford solar come 2026 voting according re seeing need people coming tell us lies
1638738503353870,fuss statements press briefings only power 3 hours oh
890124622628496,chilenje south kalomo road power since sunday only came today 16 hrs less than 10minutes went zesco saying stops fooling people
1285478359500648,alice mwenya s everywhere other areas having power
882125813911804,moffat nel mudenda imagine 24hrs
509915288589240,lase mwachisakulo formula zesco using syllabus found earth suspect astronauts came jupter
950199157151460,mentioned power came went twice during night within given 3 hours dont even power now stability woke smell burning cable
832210558868472,nonsense like nothing day please rethink stupid schedules waiting power around time t switching power ku 01 kwati ndise fwiti futi know useless reasonable timing switching power between 22 05 08 16 go work crying loud
2269644953433951,good part like zesco stabilizing power
838247315137285,always shift goal post already announced september surprised announcing minister energy communicated something else contrary talking please consult each before come public
1691605448079726,lusaka almost 3 weeks never seen power home patiently waiting 2026
1776953126445489,basically ll still power because bringing power ungodly hours anyway even used now
832105195751637,stability making noise really need therapy over ndafya tachiona mwandi dropping tears joy sight cold water drink uhmmm
563119976377813,rubbish 24hrs 03 s power
1052945053170961,paul ngonde lukama before increasing tariff made understand how much zesco makes how much spend administrative costs plan truelly zesco loss making company zesco employs among most well renumeration workers idea thinking money solves management problems help country keep talking cost reflective tariff ask how much electricity north africa desert way cheaper need good management remove political hand zesco zesco always cash cow politicians recently starting pf government napsa also becoming cash cow deal real problems imaginary ones
856562380018486,2 3hrs power time now making sense
574783971566588,said customers received power 24hrs should report excessive hours power should report also
1244428236983552,unacceptable getting 300 maamba importing 500 making 800 only getting three hours per day mr president make make sense
3457293421231217,whole press conference called just customers receive 3 hours power awkward hours stand comedy
508895165447192,connecting power most useless hours day residentials equivalent power power 10 13hrs 17 22hrs would made bit sense 400 mega something down drain difference et al
1072713587703648,zesco limited kindly reproduce spreadsheet groups lost track groups sir madam groups lost meaning present
1558742851734596,group e members power 24 00 hours 03 hours ninshii tulindoshiiiii zesco limited would created schedule such way allow everyone access power between 6 22 hours
783967233759443,stable talking saw people even singing national anthem busy mentioning name president working hard s something sensible t just say takangiwa hon garry nkombo s voice takangiwa unlike madongo dongo
528561336436034,listened briefing realised country leadership president minister speech together everyone panel must resign moral grounds everyone sat clapped must slap themselves really docile people
536181802295761,initially proposed increment tariffs import now proposed reduction promises head toes life always doing opposite say
1558742851734596,kelvis chit s musonda bunching everyone period would overload system re doing everything possible also need adjust current situation mune
836337398695683,don t tell us just want care less won t even follow schedule
887467009989212,point time doubt even true possible whole minister lied tv unless speaking matters lacks competence
3396926853935962,zesco teach how insult seems enemy ex group e
1199230334693940,same old story just different day thought reducing number load shedding hours
1579095093030596,supposed depend water electricity beginning knowing fully well s landlocked country
1663711887818549,vaupuba che 400mw re importing much talked mamba 3000mw useless minister just saying things opposite happening
2216673018696203,royd kanyungu boi chaps useless area doesn t even come 3 4 days comes s only 1 hr 45mins
2717078595167447,happens welder needs feed family 24hrs 03 hrs
541049748464792,promised us starting 1st october power stabilize meant coz honestly things gotten worse now plz stop promising people things cannot manage don t need false promises
1195076778383619,grade 3 school drop asking apply ndola s just lusaka
513836767949976,told us stabilized power increase supply 3 told us maamba corries megga watts promised us starting today power question press briefing mocking us worst management ever
411363221999347,sympathise thanks transparency
557392640055746,mr hakainde hichilema zesco limited de compaigning sir promises true citizens angry promised us stable power supply 3 hours per day m typing power came half past midnight instead midnight gone 02 12am exactly 1 hour 42 minutes much want support institution made us question management help us sir lost lot resources during situation
1088001716249717,chirundu once power cuts even water s automatic mwebantu zesco limited please kuno heat 41 degrees shall die cry elderly babies defend themselves speak hakainde hichilema help us s far 1 month without water say s hot mean
441218815638092,isn t same schedule having
1043768537239482,foolishness blaming hh while lungu administration used loot mukula tree lungu messed climate deforestation comes idiot blaming hh current situation
525005757197715,president hosted meeting statehouse few days ago even drunk mineral water md sitting 300pin salary making allowances public appearances swear re jokers nation
546781691262383,restoring power midnight people sleeping makes schedule somehow bitter group d e
1322481728721964,honestly speaking minister zesco limited md bragging time kikikikiki
1032543051998819,schedule lusaka residencies only whole zambia
1546921865941095,stability boasting parliament 2 weeks ago hmmmmm
506474755550925,sibongile bongani munthali noticing how complaining group e style through year
506474755550925,sibongile bongani munthali least switch fan whilst mosquitoes attack charge phone work lol
1248977712870266,wants bet group e next schedule 22 00 01 00 hours
546850294398405,highest mediocrity ever experienced country s sad painful see kind nonsense being accepted tolerated deserve better knew ready stabilize power should just kept quiet
